Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
4,5,1,1,0,1,1,3,2,4,3,2,1,4,A
2,8,1,2,0,2,1,4,4,6,3,2,3,1,P
4,8,2,2,0,2,1,3,3,5,3,3,3,1,Q
1,8,1,2,2,4,2,3,1,1,5,5,3,1,W
4,3,1,1,0,1,1,4,2,5,3,2,1,4,P
4,3,1,1,0,1,1,4,2,5,3,2,1,4,P
3,7,1,1,0,1,1,6,3,4,2,2,1,1,1
4,5,2,2,0,2,1,5,2,2,2,2,4,2,1
4,8,1,1,0,1,1,5,3,6,2,2,1,4,M
3,4,1,1,2,3,1,3,4,4,3,2,1,1,P
4,4,1,1,0,1,1,5,3,4,2,2,1,1,C
4,4,0,1,0,1,1,5,4,6,3,2,1,4,P
4,3,1,1,0,8,1,3,4,5,1,1,2,2,U
3,7,2,1,0,1,1,3,4,4,1,1,1,2,U
4,7,2,2,3,5,2,2,2,1,2,2,3,1,T
1,8,2,2,0,7,1,1,2,4,3,2,5,2,A
4,7,1,2,0,7,1,6,3,2,2,2,5,2,M
4,3,1,1,0,1,1,5,4,6,2,2,2,4,M
4,3,1,1,0,8,1,6,3,3,4,2,2,2,Y
3,8,2,2,0,2,1,3,2,2,1,1,3,1,L
3,5,1,1,0,1,1,5,4,1,3,2,1,1,P
2,7,1,1,0,1,1,3,1,4,2,1,1,1,J
3,8,1,2,1,4,1,3,4,2,3,2,3,4,A
4,2,2,2,3,5,2,5,3,4,4,4,4,4,3
4,4,1,1,0,1,1,3,5,3,3,2,1,2,P
3,8,2,2,0,2,1,3,1,1,2,2,3,1,C
4,8,1,1,0,1,1,6,5,1,2,2,1,2,M
4,8,1,2,0,2,1,3,2,6,5,3,3,1,X
2,8,2,2,0,2,1,5,3,5,4,2,3,1,Y
4,5,1,1,0,1,1,3,2,6,1,4,1,4,6
4,3,0,1,0,8,1,2,1,5,2,2,2,2,V
2,8,2,2,0,2,1,2,2,3,2,2,4,1,V
3,8,2,2,0,2,1,3,1,1,2,2,5,2,C
5,8,1,2,0,7,2,5,2,1,3,1,5,2,O
4,3,1,1,0,1,1,5,2,2,3,1,2,1,N
4,1,1,2,0,7,1,3,3,4,1,1,5,2,U
4,8,2,2,0,2,2,3,1,6,2,3,3,3,D
3,8,2,2,0,2,1,3,2,5,1,1,3,1,U
4,7,2,3,0,6,1,6,3,3,2,4,1,4,K
3,8,2,4,0,6,1,1,2,4,3,2,3,2,P
3,6,1,1,0,8,1,2,1,4,3,1,2,2,O
5,6,0,1,0,1,1,5,3,4,4,4,1,4,3
3,6,1,1,0,1,2,3,2,6,2,2,1,1,E
3,8,2,3,1,5,1,3,3,4,4,2,3,2,Y
4,4,1,3,0,6,1,3,1,2,1,1,5,2,U
3,8,2,2,0,7,1,2,1,3,4,3,5,2,H
4,2,1,2,0,7,1,3,2,3,2,2,5,2,C
3,4,1,1,0,8,1,5,3,6,2,4,2,2,K
3,8,2,2,2,4,2,2,1,5,5,3,3,1,X
4,6,2,2,0,7,2,2,1,4,3,2,5,2,B
4,4,0,1,0,1,1,5,4,6,3,2,1,4,P
4,8,1,2,1,4,2,5,2,3,3,3,3,4,Q
1,7,1,1,1,3,1,5,2,3,1,1,1,4,L
4,8,2,2,0,2,1,1,1,6,3,1,3,2,O
